"agent_id","agent_name","phone","email","office_city","office_name","annual_salary","commission_rate","hire_date","experience_years","city_code"
AGT001_CA,Ahmed Gomaa,"1133470911",ahmed.gomaa1@realestate.com,Cairo,Cairo Main Office,93344.0,0.0450,2021-10-28,1,CA
AGT002_CA,Amira ElAraby,"1236415436",amira.elaraby2@realestate.com,Cairo,Cairo Main Office,101557.0,0.0450,2021-10-22,3,CA
AGT003_CA,Nour ElAraby,"1173748211",nour.elaraby3@realestate.com,Cairo,Cairo Main Office,119301.0,0.0450,2022-01-07,7,CA
AGT004_CA,Iman Hamed,"1148036242",iman.hamed4@realestate.com,Cairo,Cairo Main Office,127140.0,0.0450,2021-07-02,10,CA
AGT005_GZ,Mohamed Fouad,"1119236961",mohamed.fouad5@realestate.com,Giza,Giza Main Office,95502.0,0.0420,2022-07-20,13,GZ
AGT006_GZ,Amr ElKady,"1257217767",amr.elkady6@realestate.com,Giza,Giza Main Office,137857.0,0.0420,2021-08-09,7,GZ
AGT007_GZ,Bassem Saber,"1066539586",bassem.saber7@realestate.com,Giza,Giza Main Office,143941.0,0.0420,2022-04-14,9,GZ
AGT008_GZ,Layla Suleiman,"1581748061",layla.suleiman8@realestate.com,Giza,Giza Main Office,105833.0,0.0420,2024-06-21,15,GZ
AGT009_AL,Dina ElShanawy,"1561712103",dina.elshanawy9@realestate.com,Alexandria,Alexandria Main Office,108431.0,0.0380,2024-06-27,4,AL
AGT010_AL,Mariam ElShanawy,"1244360776",mariam.elshanawy10@realestate.com,Alexandria,Alexandria Main Office,107712.0,0.0380,2022-01-24,4,AL
AGT011_AL,Rehab ElAraby,"1185027378",rehab.elaraby11@realestate.com,Alexandria,Alexandria Main Office,119427.0,0.0380,2023-03-27,11,AL
AGT012_AL,Hossam Hilal,"1575363411",hossam.hilal12@realestate.com,Alexandria,Alexandria Main Office,123591.0,0.0380,2021-04-05,11,AL
AGT013_AS,Ahmed ElSaadi,"1558731645",ahmed.elsaadi13@realestate.com,Asyut,Asyut Main Office,93399.0,0.0350,2022-01-19,3,AS
AGT014_AS,Dina Gomaa,"1563552856",dina.gomaa14@realestate.com,Asyut,Asyut Main Office,105939.0,0.0350,2024-04-12,9,AS
AGT015_AS,Wessam Nour,"1080707159",wessam.nour15@realestate.com,Asyut,Asyut Main Office,94307.0,0.0350,2022-06-07,12,AS
AGT016_AS,Sherine ElShanawy,"1178413621",sherine.elshanawy16@realestate.com,Asyut,Asyut Main Office,135927.0,0.0350,2023-11-23,8,AS
AGT017_LU,Hossam Zahran,"1559049898",hossam.zahran17@realestate.com,Luxor,Luxor Main Office,124920.0,0.0400,2021-05-24,12,LU
AGT018_LU,Ghada Saber,"1597610280",ghada.saber18@realestate.com,Luxor,Luxor Main Office,111629.0,0.0400,2024-04-12,10,LU
AGT019_LU,Mostafa ElSherif,"1063282581",mostafa.elsherif19@realestate.com,Luxor,Luxor Main Office,126079.0,0.0400,2023-08-06,12,LU
AGT020_LU,Layla Nour,"1034975811",layla.nour20@realestate.com,Luxor,Luxor Main Office,131081.0,0.0400,2021-03-09,6,LU
AGT021_AW,Rania ElShafie,"1073743434",rania.elshafie21@realestate.com,Aswan,Aswan Main Office,91044.0,0.0360,2022-07-10,5,AW
AGT022_AW,Layla Saber,"1118997414",layla.saber22@realestate.com,Aswan,Aswan Main Office,135967.0,0.0360,2024-11-21,14,AW
AGT023_AW,Iman ElShanawy,"1551683450",iman.elshanawy23@realestate.com,Aswan,Aswan Main Office,114577.0,0.0360,2023-01-23,5,AW
AGT024_AW,Saeed ElKady,"1044959206",saeed.elkady24@realestate.com,Aswan,Aswan Main Office,129520.0,0.0360,2022-03-17,12,AW
AGT025_MN,Rania Hassan,"1032997535",rania.hassan25@realestate.com,Al Minya,Al Minya Main Office,101388.0,0.0330,2024-11-25,8,MN
AGT026_MN,Fatma Hamed,"1086099793",fatma.hamed26@realestate.com,Al Minya,Al Minya Main Office,133937.0,0.0330,2022-07-24,9,MN
AGT027_MN,Kareem Ali,"1228143954",kareem.ali27@realestate.com,Al Minya,Al Minya Main Office,113631.0,0.0330,2022-08-25,3,MN
AGT028_MN,Hoda ElZayat,"1133622878",hoda.elzayat28@realestate.com,Al Minya,Al Minya Main Office,140808.0,0.0330,2022-08-22,15,MN
AGT029_SO,Dina Saber,"1250466088",dina.saber29@realestate.com,Sohag,Sohag Main Office,128178.0,0.0340,2023-08-17,12,SO
AGT030_SO,Ghada ElSaadi,"1061088367",ghada.elsaadi30@realestate.com,Sohag,Sohag Main Office,125925.0,0.0340,2021-03-02,4,SO
AGT031_SO,Tarek Hilal,"1182518890",tarek.hilal31@realestate.com,Sohag,Sohag Main Office,70860.0,0.0340,2021-04-11,6,SO
AGT032_SO,Mariam Saber,"1043790308",mariam.saber32@realestate.com,Sohag,Sohag Main Office,110319.0,0.0340,2022-08-05,9,SO
AGT033_QE,Iman Morad,"1531011486",iman.morad33@realestate.com,Qena,Qena Main Office,66581.0,0.0320,2021-08-22,14,QE
AGT034_QE,Nour Abdullah,"1282744898",nour.abdullah34@realestate.com,Qena,Qena Main Office,134352.0,0.0320,2023-06-12,3,QE
AGT035_QE,Kareem ElSaadi,"1517592471",kareem.elsaadi35@realestate.com,Qena,Qena Main Office,101988.0,0.0320,2024-09-25,5,QE
AGT036_QE,Amr ElShafie,"1258596478",amr.elshafie36@realestate.com,Qena,Qena Main Office,96452.0,0.0320,2022-05-08,8,QE
AGT037_MA,Fatma Suleiman,"1541148403",fatma.suleiman37@realestate.com,Mansoura,Mansoura Main Office,110813.0,0.0370,2022-01-01,12,MA
AGT038_MA,Lamyaa Abdullah,"1010586691",lamyaa.abdullah38@realestate.com,Mansoura,Mansoura Main Office,99431.0,0.0370,2023-05-05,11,MA
AGT039_MA,Mohamed ElSayed,"1070187039",mohamed.elsayed39@realestate.com,Mansoura,Mansoura Main Office,142165.0,0.0370,2021-08-06,12,MA
